course_number,course_title,professor,credits,class_cap,primary_schedule_day,primary_schedule_start_time,primary_schedule_end_time,primary_schedule_location,secondary_schedule_day,secondary_schedule_start_time,secondary_schedule_end_time,secondary_schedule_location,distributional_area,crosslists,additional_schedule,description,crn_number,program,source
HIST 391,"Children of Empire: a Transnational History of Boarding Schools","Wendy Urban-Mead",4,8,Wed, 16:50, 19:50, "Olin 301",,,,,"HA, D+J","Africana Studies; Global & International Studies","","From the boarding schools of early 19th C Britain to the mission boarding schools in colonial Africa, to the residential schools – both mission and secular – for Native Americans/First Nations of the USA and Canada, and other examples from around the world, this course will engage with the transnational history of boarding schools as sites where the cultural work of empire is enacted both for colonizers and colonized. Alongside primary materials, including memoirs, course texts will include fiction and scholarly works. Students will learn research skills as they prepare a seminar paper based on primary sources and historiographical analysis. Students will be reading colonial documents ‘against the grain,’ as well as seeing how metropolitan-established boarding schools affected indigenous populations on two (or more) continents. The course will be structured to support students learning to work with digital archives.",92051,Bard BA/MAT 4 + 1 Program,https://inside.bard.edu/academic/courses/fall2023/mat.htm
LIT 3048,"Extraordinary Bodies: Disability in American Literature and Culture","Jaime Alves",4,10,Tue, 18:00, 21:00, "Olin 305",,,,,"LA, D+J","Human Rights","","In this course, we will examine U.S. fiction, non-fiction, poetry, and memoir to understand how writers of the 19th, 20th, and 21st centuries represent the “normal” body, as well as a constellation of bodies presented as extraordinary: bodies that differ from the average at birth or are transformed by illness or war; bodies paraded as “freaks”; bodies that don’t fit into established categories. We begin in the early nineteenth century, when popular Enlightenment ideology suggested Americans could control their own destinies, making and remaking their characters, and even their bodies, at will. What ideas emerged here about the kind of self one should make, and the kinds of bodies that should be discarded? How were those ideas proffered in and shaped by literary imaginings? How have they persisted and changed over time, especially in relation to ideas about American identity? Our reading list takes us into the present day, and includes an introduction to the major questions and scholarly perspectives under debate at the intersection of Disability Studies and the study of literature. We also work with critical, theoretical, and historical texts on disability as an intersectional identity requiring intentional and sustained examination in order to bring into being a more just and inclusive society. This course is cross-listed with the MAT program for 4+1 students in literature.",92156,Bard BA/MAT 4 + 1 Program,https://inside.bard.edu/academic/courses/fall2023/mat.htm
HR 391,"Disability Rights in Education","Erin Braselmann",2,18,Mon Wed, 15:30, 16:50, "Reem Kayden Center 102 (October 30-December 22)",,,,,"SA, D+J","","","This course will introduce students to disability rights and provide an overview of the different ways to approach disability in the field of education. Specifically, the course will focus on the history of disability in the American education system, including a brief history of the disability rights movement, historical perspectives, advocacy initiatives (such as Conventions on the Rights of Persons with Disabilities, CRPD; Disability Rights, Education, Activism, and Mentoring, DREAM, etc.), and the legal framework (the access it provides and the limitations it produces). Differences between the medical model and social model of disability, and institutionalization and deinstitutionalization will be discussed and examined in the context of educational settings. Disability, as it relates to education, will be examined from both a civil rights and human rights perspective. The course will consider the following questions: What is ableism and how does it appear in education? What is a disability from historical, legal, and humanistic perspectives? What does it mean to be disabled in America? What does access in educational settings for disabled students mean? What are the laws that contribute to access (ADA, Section 504 of the Rehabilitation Act, IDEA, Fair Housing Act, etc.)? What are educational modifications and “reasonable accommodations?” Students will learn to think critically about disability in a variety of contexts and have a greater understanding of the complexities surrounding disability in education. Students will also develop a deeper understanding of exclusionary and inclusionary educational practices as well as inaccessible and accessible educational environments for disabled people.",92446,Bard BA/MAT 4 + 1 Program,https://inside.bard.edu/academic/courses/fall2023/mat.htm
MAT ED151,"Pedagogy and Practice in Civic Engagement","Michael Murray",2,15,Tue, 17:10, 18:30, "Olin 101",,,,,"","","","This course is designed for Bard undergraduates who are working in one of the college’s many educational outreach programs and who are committed to the idea of civic engagement. Guided by readings in education, we will consider the inter-personal, cultural, social and ethical issues that arise in the context of civic engagement in schools. In particular, we will consider: What are our personal and professional aspirations as teachers, tutors, mentors and leaders? What systemic or other changes might we like to see in our civic engagement and how might we best go about making or advocating for them? How can we improve our own communication skills so that we become better and more skillful presenters, listeners and responders? What are the potential challenges we may face in supporting someone’s learning? Throughout this course we will emphasize writing as a means of engaging with content, and we will workshop and critique problems that you may experience and encounter in your outreach work. It will include two virtual “days of writing” with Bard High School Early College – Newark dates TBD), when course participants will lead on-line writing workshops for students. The course is required of all junior-year MAT 4+1 students and is recommended for tutors and mentors in TLS education programs. It will be graded pass/fail and carries two credits (non-distributional).",92434,Bard BA/MAT 4 + 1 Program,https://inside.bard.edu/academic/courses/fall2023/mat.htm
MAT ED521,"Laboratory Support for Science Inquiry in Citizen Science","Rebeca Patsey",4,,Mon, 17:30, 20:00, "Reem Kaden Center 112",Mon, 18:00, 20:00, "","","","","Students will explore elements of the design, preparation, and teaching of scientific inquiry by focusing on the specific labs for the 2024 Citizen Science Environmental Water Lab. This will include the consideration of critical laboratory program components such as the selection of suitable labs, required timing and the preparation, monitoring, set up, clean up and inventory of materials and equipment needed. In addition, we will focus on developing the students’ abilities to support the classroom instruction as a teaching assistant in preparation for the opportunity arising during the January intersession. This course is required for Citizen Science Laboratory Teaching Fellows. It will be graded pass/fail and carry two credits (non-distributional).",92432,Bard BA/MAT 4 + 1 Program,https://inside.bard.edu/academic/courses/fall2023/mat.htm
MAT ED523,"Science and the Young Learner","Mary Krembs",4,,Mon, 17:30, 20:00, "Reem Kaden Center 101",,,,,"","","","This section is tailored to the Fellows that work for the Center for Civic Engagement as Science Outreach Fellows. In this section we explore the concepts of what it means to provide educational opportunities for secondary school learners to deepen their science literacy. How do we engage younger learners in authentic scientific inquiry? What are the barriers to wider representation in the sciences, and how can education help overcome them? These will be some of the fundamental questions of this course. Students will read important works on science inquiry, engagement and literacy and work to fully understand all elements of the design, preparation and teaching of scientific inquiry by developing activities that will be taught to middle school students during the 2023 Citizen Science Science program as well as throughout the academic year. This course is required for Citizen Science Civic Engagement Fellows. Non-Fellows will be considered at the discretion of the instructor. It will be graded pass/fail and carry two credits (non-distributional).",92433,Bard BA/MAT 4 + 1 Program,https://inside.bard.edu/academic/courses/fall2023/mat.htm
ECON 100 A,"Principles of Economics","Aniruddha Mitra",4,22,Tue Thurs, 10:10, 11:30, "Olin 203",,,,,"SA","Economics & Finance; Global & International Studies","","This course is a one-semester introduction to the essential ideas of economic analysis. The microeconomics component of the course develops the basic model of consumer and firm behavior, including demand and supply, in the context of an idealized competitive market and examines several ways in which the real world deviates from this model—including monopoly and other forms of imperfect competition; information problems; minimum wages and other price controls; taxes; and government regulation. The macroeconomics component studies the aggregate behavior of modern economies – the factors leading to economic growth, explanations of booms and recessions, unemployment, interest rates, inflation, and budget deficits or surpluses – and the government’s ability (or inability) to use monetary and fiscal policies to achieve economic goals such as full employment and price stability. This course replaces the two-semester introductory microeconomics and macroeconomics sequence and is the foundational course in the economics curriculum. Prerequisite: passing score on Part I of the Math Placement.",91959,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
ECON 100 B,"Principles of Economics","Youseff Bennasser",4,22,Tue Thurs, 15:30, 16:50, "Olin 203",,,,,"SA","Economics & Finance; Global & International Studies","","This course is a one-semester introduction to the essential ideas of economic analysis. The microeconomics component of the course develops the basic model of consumer and firm behavior, including demand and supply, in the context of an idealized competitive market and examines several ways in which the real world deviates from this model—including monopoly and other forms of imperfect competition; information problems; minimum wages and other price controls; taxes; and government regulation. The macroeconomics component studies the aggregate behavior of modern economies – the factors leading to economic growth, explanations of booms and recessions, unemployment, interest rates, inflation, and budget deficits or surpluses – and the government’s ability (or inability) to use monetary and fiscal policies to achieve economic goals such as full employment and price stability. This course replaces the two-semester introductory microeconomics and macroeconomics sequence and is the foundational course in the economics curriculum. Prerequisite: passing score on Part I of the Math Placement.",91960,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
ECON 100 C,"Principles of Economics","Michael Martell",4,22,Mon Wed, 15:30, 16:50, "Olin 203",,,,,"SA","Economics & Finance; Global & International Studies","","This course is a one-semester introduction to the essential ideas of economic analysis. The microeconomics component of the course develops the basic model of consumer and firm behavior, including demand and supply, in the context of an idealized competitive market and examines several ways in which the real world deviates from this model—including monopoly and other forms of imperfect competition; information problems; minimum wages and other price controls; taxes; and government regulation. The macroeconomics component studies the aggregate behavior of modern economies – the factors leading to economic growth, explanations of booms and recessions, unemployment, interest rates, inflation, and budget deficits or surpluses – and the government’s ability (or inability) to use monetary and fiscal policies to achieve economic goals such as full employment and price stability. This course replaces the two-semester introductory microeconomics and macroeconomics sequence and is the foundational course in the economics curriculum. Prerequisite: passing score on Part I of the Math Placement.",91961,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
ECON 100 D,"Principles of Economics","Oleksandr Valchyshen",4,22,Mon Wed, 11:50, 13:10, "Hegeman 102",,,,,"SA","Economics & Finance; Global & International Studies","","This course is a one-semester introduction to the essential ideas of economic analysis. The microeconomics component of the course develops the basic model of consumer and firm behavior, including demand and supply, in the context of an idealized competitive market and examines several ways in which the real world deviates from this model—including monopoly and other forms of imperfect competition; information problems; minimum wages and other price controls; taxes; and government regulation. The macroeconomics component studies the aggregate behavior of modern economies – the factors leading to economic growth, explanations of booms and recessions, unemployment, interest rates, inflation, and budget deficits or surpluses – and the government’s ability (or inability) to use monetary and fiscal policies to achieve economic goals such as full employment and price stability. This course replaces the two-semester introductory microeconomics and macroeconomics sequence and is the foundational course in the economics curriculum. Prerequisite: passing score on Part I of the Math Placement.",91962,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
ECON 223,"International Trade","Youssef Bennasser",4,22,Tue Thurs, 15:30, 16:50, "Hegeman 102",,,,,"SA","Economics & Finance; Global & International Studies","","Cross-listed: Economics & Finance; Global & International Studies. International trade, the flow of commodities across international borders, is a ubiquitous feature of the contemporary global economy. This course provides an introduction to economic theories and concepts that help us understand why nations trade, who benefits and who loses from trade, and why trade is regulated. Each week, we will pose a question based on an issue of current interest (e.g. Does free trade contribute to widening the gap between the rich and the poor? Why does the US import Chevy cars from Canada? Should the US ban clothing imports from sweatshops in Bangladesh? Should Apple move the production of iPads from China to the US? Did NAFTA contribute to an increase in illegal immigration?) and develop theoretical tools that help us answer it. Theories will be drawn from a variety of perspectives and the analysis will be grounded in the historical and political context of each policy issue. Prerequisite: Econ 100.",91966,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
ECON 229,"Introduction to Econometrics","Sanjay DeSilva",4,18,Mon Wed, 15:30, 16:50, "Albee 106",,,,,"MC","Economics & Finance; Environmental & Urban Studies; Environmental Studies; Global & International Studies","","This course explores the tools economists use to summarize and interpret data. The first half of the course introduces the concepts of random variables, probability distributions, sampling, descriptive statistics and statistical inference. The second half of the course focuses on simple and multiple regression analysis. The emphasis is on acquiring a practical knowledge of econometric methods (theoretical foundations and advanced techniques are covered in Econ 329); students will learn how to organize and analyze data, using Excel and STATA, and how to carry out an empirical research project. This course fulfills the statistical methods requirement for the economics major. Prerequisite: Economics 100, at least one other economics course and pre-calculus.",91967,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
ECON 390,"Contemporary Developments in Finance","Taun Toay",4,16,Tue, 15:10, 17:30, "",,,,,"SA","Economics & Finance","","",92404,Economics and Finance,https://inside.bard.edu/academic/courses/fall2023/finance.html
