web-scraper-order,web-scraper-start-url,title,number,crn,class_cap,credits,professor,schedule,property_1_type,property_1_value,property_2_type,property_2_value,property_3_type,property_3_value,property_4_type,property_4_value,description,programs,programs-href
"1682471271-962","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Children of Empire: a Transnational History of Boarding
  Schools","HIST 391","92051","8","4","Wendy Urban-Mead","Wed  
  4:50 PM – 7:50 PM Olin 301","Distributional","HA  Historical
  Analysis  D+J Difference and Justice","Crosslists","Africana Studies; Global & International Studies","null","null","null","null","From the boarding schools of early 19th C Britain to the mission
boarding schools in colonial Africa, to the residential schools - both mission
and secular - for Native Americans/First Nations of the USA and Canada,
and  other examples from around the world, this course will engage with
the transnational history of boarding schools as sites where the cultural work
of empire is enacted both for colonizers and colonized. Alongside primary
materials, including memoirs, course texts will include fiction and scholarly
works. Students will learn research skills as they prepare a seminar paper
based on primary sources and historiographical analysis. Students will be
reading colonial documents 'against the grain,' as well as seeing how
metropolitan-established boarding schools affected indigenous populations on
two (or more) continents.  The course will be structured to support
students learning to work with digital archives.","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/fall2023/mat.htm"
"1682471271-963","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Extraordinary Bodies: Disability in American Literature and
  Culture","LIT 3048","92156","10","4","Jaime Alves","Tue      6:00 PM
  - 9:00 PM Olin 305","Distributional","LA  Literary
  Analysis in English  D+J
  Difference and Justice","Crosslists","Human Rights","null","null","null","null","In this course, we will examine U.S. fiction, non-fiction,
poetry, and memoir to understand how writers of the 19th, 20th, and 21st
centuries represent the “normal” body, as well as a constellation of bodies
presented as extraordinary: bodies that differ from the average at birth or are
transformed by illness or war; bodies paraded as “freaks”; bodies that don’t
fit into established categories. We begin in the early nineteenth century, when
popular Enlightenment ideology suggested Americans could control their own
destinies, making and remaking their characters, and even their bodies, at
will. What ideas emerged here about the kind of self one should make, and the
kinds of bodies that should be discarded? How were those ideas proffered in and
shaped by literary imaginings? How have they persisted and changed over time,
especially in relation to ideas about American identity? Our reading list takes
us into the present day, and includes an introduction to the major questions
and scholarly perspectives under debate at the intersection of Disability
Studies and the study of literature. We also work with critical, theoretical,
and historical texts on disability as an intersectional identity requiring
intentional and sustained examination in order to bring into being a more just
and inclusive society. This course is cross-listed with the MAT program for 4+1
students in literature.","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/fall2023/mat.htm"
"1682471271-964","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Disability
  Rights in Education","HR 391","92446","18","2","Erin Braselmann","Mon  Wed     3:30
  PM – 4:50 PM Reem Kayden Center 102 (October 30-December
  22)","Distributional","SA Social Analysis","null","null","null","null","null","null","This course will introduce students to disability rights and provide
an overview of the different ways to approach disability in the field of
education. Specifically, the course will focus on the history of disability in
the American education system, including a brief history of the disability
rights movement, historical perspectives, advocacy initiatives (such as
Conventions on the Rights of Persons with Disabilities, CRPD; Disability
Rights, Education, Activism, and Mentoring, DREAM, etc.), and the legal
framework (the access it provides and the limitations it produces). Differences
between the medical model and social model of disability, and
institutionalization and deinstitutionalization will be discussed and examined
in the context of educational settings. Disability, as it relates to education,
will be examined from both a civil rights and human rights perspective. The
course will consider the following questions: What is ableism and how does it
appear in education? What is a disability from historical, legal, and
humanistic perspectives? What does it mean to be disabled in America? What does
access in educational settings for disabled students mean? What are the laws
that contribute to access (ADA, Section 504 of the Rehabilitation Act, IDEA,
Fair Housing Act, etc.)? What are educational modifications and “reasonable
accommodations?” Students will learn to think critically about disability in a
variety of contexts and have a greater understanding of the complexities
surrounding disability in education. Students will also develop a deeper
understanding of exclusionary and inclusionary educational practices as well as
inaccessible and accessible educational environments for disabled people.","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/fall2023/mat.htm"
"1682471271-965","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Pedagogy and Practice in Civic Engagement","MAT ED151","92434","15","2","Michael Murray","Tue      5:10
  PM - 6:30 PM Olin 101","Distributional","None","null","null","null","null","null","null","This course is designed for
Bard undergraduates who are working in one of the college’s many educational outreach
programs and who are committed to the idea of civic engagement. Guided by
readings in education, we will consider the inter-personal, cultural, social
and ethical issues that arise in the context of civic engagement in
schools.  In particular, we will consider: What are our personal and
professional aspirations as teachers, tutors, mentors and leaders? What
systemic or other changes might we like to see in our civic engagement and how
might we best go about making or advocating for them? How can we improve our
own communication skills so that we become better and more skillful presenters,
listeners and responders? What are the potential challenges we may face in
supporting someone’s learning? Throughout this course we will emphasize writing
as a means of engaging with content, and we will workshop and critique problems
that you may experience and encounter in your outreach work. It will include
two virtual “days of writing” with Bard High School Early College – Newark
dates TBD), when course participants will lead on-line writing workshops for
students. The course is required of all junior-year MAT 4+1 students and is
recommended for tutors and mentors in TLS education programs. It will be graded
pass/fail and carries two credits (non-distributional).","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/fall2023/mat.htm"
"1682471271-966","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Laboratory Support for Science Inquiry in Citizen Science","MAT ED521","92432","null","4","Rebeca Patsey","Mon  5:30 PM - 8:00 PM
  Reem Kaden Center 112","Distributional","None","null","null","null","null","null","null","Students will
explore elements of the design, preparation, and teaching of scientific
inquiry by focusing on the specific labs for the 2024 Citizen Science
Environmental Water Lab.  This will include the
consideration of critical laboratory program components such as the
selection of suitable labs, required timing and the preparation, monitoring,
set up, clean up and inventory of materials and equipment needed.  In
addition, we will focus on developing the students’ abilities to support the
classroom instruction as a teaching assistant in preparation for the
opportunity arising during the January intersession.  This course is
required for Citizen Science Laboratory Teaching Fellows.  It will be
graded pass/fail and carry two credits (non-distributional).","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/fall2023/mat.htm"
"1682471271-967","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Science
  and the Young Learner","MAT ED523","92433","","4","Mary Krembs","Mon  5:30 PM
  - 8:00 PM Reem Kaden Center 101","Distributional","None","null","null","null","null","null","null","This section is tailored to the Fellows that work for the Center
for Civic Engagement as Science Outreach Fellows. In this section we explore the
concepts of what it means to provide educational opportunities for secondary
school learners to deepen their science literacy. How do we engage younger
learners in authentic scientific inquiry? What are the barriers to wider
representation in the sciences, and how can education help overcome them? These
will be some of the fundamental questions of this course. Students will read
important works on science inquiry, engagement and literacy and work to fully
understand all elements of the design, preparation and teaching of scientific
inquiry by developing activities that will be taught to middle school students
during the  2023 Citizen Science Science program as well as throughout the academic
year.  This course is required for Citizen Science Civic Engagement
Fellows.  Non-Fellows will be considered at the discretion of the
instructor.  It will be graded pass/fail and carry two credits
(non-distributional).","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/fall2023/mat.htm"
"1682471273-968","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Principles of Economics","ECON 100 A","91959","22","4","Aniruddha Mitra","Tue  Thurs    10:10 AM
  – 11:30 AM Olin 203","Distributional","SA  Social
  Analysis","Crosslists","Economics
  & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
"1682471273-969","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Principles of Economics","ECON 100 B","91960","22","4","Youseff Bennasser","Tue  Thurs    3:30 PM
  – 4:50 PM Olin 203","Distributional","SA  Social
  Analysis","Crosslists","Economics
  & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
"1682471273-970","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Principles of Economics","ECON 100 C","91961","22","4","Michael Martell","Mon  Wed     3:30 PM
  – 4:50 PM Olin 203","Distributional","SA  Social
  Analysis","Crosslists","Economics
  & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
"1682471273-971","https://inside.bard.edu/academic/courses/fall2023/menu.htm","Principles of Economics","ECON 100 D","91962","22","4","Oleksandr Valchyshen","Mon  Wed     11:50 AM
  – 1:10 PM Hegeman 102","Distributional","SA  Social
  Analysis","Crosslists","Economics
  & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/fall2023/finance.html"
