
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
ANTH	101	A	92008	Introduction to Cultural Anthropology	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	Yuka Suzuki	SA 	D+J	22
ANTH	101	B	92009	Introduction to Cultural Anthropology	4		M	.	W	.	.	.	.	11:50 AM	1:10 PM	Yuka Suzuki	SA 	D+J	22
ANTH	209		92013	Socialist Musical Imaginaries	4		.	T	.	Th	.	.	.	11:50 AM	1:10 PM	Maria Sonevytsky	SA 		22
ANTH	211		92011	Ancient Indigenous Peoples before the Bard Lands: Archaeology Methods and Theory	4		.	.	.	Th	.	.	.	1:30 PM	2:50 PM	Christopher Lindner	LS 		12
 	 		 			and	.	.	.	.	F	.	.	1:30 PM	4:30 PM				
ANTH	218		92012	The Rift and the Nile	4		M	.	W	.	.	.	.	10:10 AM	11:30 AM	John Ryle	SA 	D+J	22
ANTH	227		92014	Linguistic Anthropology	4		.	T	.	Th	.	.	.	5:10 PM	6:30 PM	Andrew Bush	SA 	D+J	22
ANTH	242		92010	Anthropology of Food	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	. TBA	SA 	D+J	22
ANTH	248		92016	Global Culture Brokers	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Laura Kunreuther	SA 	D+J	22
ANTH	299		92015	Queer Theories, Familiar Families	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Andrew Bush	SA 	D+J	22
ANTH	350		92019	Contemporary Cultural Theory	4		.	.	.	.	F	.	.	12:30 PM	2:50 PM	Jeff Jurgens	SA 	D+J	15
ANTH	373		92017	Economic Anthropology: Feminist Perspectives	4		.	T	.	.	.	.	.	12:30 PM	2:50 PM	. TBA	SA 	D+J	15
ANTH	403		92020	Senior Project Colloquium	0		M	.	.	.	.	.	.	12:30 PM	2:50 PM	Laura Kunreuther	SA 		15
ARAB	101		91878	Elementary Arabic I 	4		M	T	W	Th	.	.	.	8:50 AM	9:50 AM	Ziad Dallal	FL 		22
ARAB	201		91879	Intermediate Arabic I	4		M	T	W	.	.	.	.	11:50 AM	1:10 PM	Ziad Dallal	FL 		22
ARCH	111	TT	92182	After the Object: Relational Architecture	4		M	.	.	.	.	.	.	10:10 AM	1:10 PM	Thena Tak	PA 		12
ARCH	111	SL	92183	How to Build a Ruin	4		.	.	W	.	.	.	.	10:10 AM	1:10 PM	Stephanie Lee	PA 		12
ARCH	111	BC	92189	New Manuals: Redesigning Architectural Rituals	4		M	.	.	.	.	.	.	1:30 PM	4:30 PM	Betsy Clifton	PA 		12
ARCH	213		92187	Urbanization and Climate Change: A Counter-History	4		M	.	W	.	.	.	.	3:30 PM	4:50 PM	Ross Adams	SA 		18
ARCH	214	SL	92188	Post-Eden: Conflicts, Coloniality and Plants	4		.	T	.	.	.	.	.	1:30 PM	4:30 PM	Stephanie Lee	PA 	D+J	12
 	 		 			and	.	.	.	Th	.	.	.	1:30 PM	3:30 PM				
ARCH	225	BC	92184	At scale: Architectural Models	4		.	T	.	.	.	.	.	1:30 PM	4:30 PM	Betsy Clifton	PA 		12
 	 		 			and	.	.	.	Th	.	.	.	1:30 PM	3:30 PM				
ARCH	321	MC	92190	Designing The Potential History of a Pathmark and One Manhattan Square	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Michael Cohen	PA 	D+J	12
 	 		 			and	.	.	.	Th	.	.	.	10:10 AM	12:10 PM				
ARCH	405		92185	Senior Project Colloquium	0		.	T	.	.	.	.	.	5:10 PM	7:30 PM	Ross Adams	None		8
ART	100	MH	92349	Extended Media I: Experimental Image Making	4		M	.	.	.	.	.	.	2:00 PM	5:00 PM	Maggie Hazen	PA 		12
ART	101	RM	92354	Painting I	4		.	T	.	.	.	.	.	2:00 PM	5:00 PM	Rebecca Morgan	PA 		12
ART	101	JVD	92360	Painting I	4		.	.	W	.	.	.	.	10:10 AM	1:10 PM	Jonathan VanDyke	PA 		12
ART	101	LK	92368	Painting I	4		.	.	.	Th	.	.	.	10:10 AM	1:10 PM	Laleh Khorramian	PA 		12
ART	105	JS	92346	Sculpture I	4		M	.	.	.	.	.	.	2:00 PM	5:00 PM	Julianne Swartz	PA 		12
ART	105	DD	92350	Sculpture I	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Daniella Dooling	PA 		12
ART	105	AG	92372	Sculpture I: The Chair	4		.	.	.	.	F	.	.	10:10 AM	1:10 PM	Arthur Gibbons	PA 		12
ART	107	MB	92351	Drawing I	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Mara Baldwin	PA 		12
ART	107	KF	92364	Drawing I	4		.	.	W	.	.	.	.	3:30 PM	6:30 PM	Katy Fischer	PA 		12
ART	107	NB	92370	Drawing I	4		.	.	.	Th	.	.	.	2:00 PM	5:00 PM	Nayland Blake	PA 		12
ART	109	LO	92347	Printmaking I: Intaglio	4		M	.	.	.	.	.	.	2:00 PM	5:00 PM	Lothar Osterburg	PA 		12
ART	109	BG	92353	Printmaking I: Mark-Making	4		.	T	.	.	.	.	.	2:00 PM	5:00 PM	Beka Goedde	PA 		12
ART	109	AC	92361	Print I: Relief and Monoprint	4		.	.	W	.	.	.	.	10:10 AM	1:10 PM	Adriane Colburn	PA 		12
ART	113	TVP	92463	The Creative Self and The No Self of the Zen Arts	4		M	.	.	.	.	.	.	2:00 PM	5:00 PM	Tatjana Myoko von Prittwitz und Gaffron	PA 		12
ART	125	AC	92357	Of Paper	4		.	T	.	.	.	.	.	2:00 PM	5:00 PM	Adriane Colburn	PA 		12
ART	150	TBA	92362	Extended Media I	4		.	.	W	.	.	.	.	10:10 AM	1:10 PM	. TBA	PA 		12
ART	150	JW	92366	Extended Media I	4		.	.	W	.	.	.	.	3:30 PM	6:30 PM	Julia Weist	PA 		12
ART	200	MH	92356	Extended Media II: Experimental Video	4		.	T	.	.	.	.	.	2:00 PM	5:00 PM	Maggie Hazen	PA 		12
ART	201	LS	92345	Painting II	4		M	.	.	.	.	.	.	10:10 AM	1:10 PM	Lisa Sanditz	PA 		12
ART	202	JVD	92355	Painting II: Abstraction and Material Experimentation	4		.	T	.	.	.	.	.	2:00 PM	5:00 PM	Jonathan VanDyke	PA 		12
ART	205	AG	92367	Sculpture II: Steel Obstacles & Bridges	4		.	.	.	Th	.	.	.	10:10 AM	1:10 PM	Arthur Gibbons	PA 		8
ART	205	KF	92371	Sculpture II: Soft Sculpture	4		.	.	.	Th	.	.	.	2:00 PM	5:00 PM	Kenji Fujita	PA 		12
ART	207	AA	92348	Drawing II	4		M	.	.	.	.	.	.	2:00 PM	5:00 PM	. TBA	PA 		12
ART	207	LK	92365	Drawing II	4		.	.	W	.	.	.	.	2:00 PM	5:00 PM	Laleh Khorramian	PA 		12
ART	209	LO	92352	Print II: The Artists Book	4		.	T	.	.	.	.	.	10:10 AM	1:10 PM	Lothar Osterburg	PA 		12
