web-scraper-order,web-scraper-start-url,title,number,crn,class_cap,credits,professor,schedule,property_1_type,property_1_value,property_2_type,property_2_value,property_3_type,property_3_value,property_4_type,property_4_value,description,programs,programs-href
"1682449707-1","https://inside.bard.edu/academic/courses/current/menu.htm","Pedagogy and Practice in Civic
  Engagement","MAT ED151","11515","15","2","Michael Murray","Tue      5:10 PM
  - 6:30 PM Olin 101","Distributional","None","null","null","null","null","null","null","This course is designed for Bard undergraduates who are
working in one of the college’s many educational outreach programs and who are
committed to the idea of civic engagement. Guided by readings in education, we
will consider the inter-personal, cultural, social and ethical issues that
arise in the context of civic engagement in schools.  In particular, we will consider: What are our
personal and professional aspirations as teachers, tutors, mentors and leaders?
What systemic or other changes might we like to see in our civic engagement and
how might we best go about making or advocating for them? How can we improve
our own communication skills so that we become better and more skillful
presenters, listeners and responders? What are the potential challenges we may
face in supporting someone’s learning? Throughout this course we will emphasize
writing as a means of engaging with content, and we will workshop and critique
problems that you may experience and encounter in your outreach work. It will
include two virtual “days of writing” with Bard High School Early College –
Newark dates TBD), when course participants will lead on-line writing workshops
for students. The course is required of all junior-year MAT 4+1 students and is
recommended for tutors and mentors in TLS education programs. It will be graded
pass/fail and carries two credits (non-distributional).","Bard BA/MAT 4 + 1 Program","https://inside.bard.edu/academic/courses/current/mat.htm"
"1682449709-2","https://inside.bard.edu/academic/courses/current/menu.htm","Accounting","FIN 190","11391","22","4","Jennifer Brown","Tue  Thurs    5:10 PM
  – 6:30 PM Reem Kayden Center 102","Distributional","MC Mathematics and Computing","Crosslists","Economics","null","null","null","null","This course surveys financial and managerial accounting. The
concepts and methods of financial accounting following generally accepted accounting
principles and the effects of alternative principles on the measurement of
periodic income and financial status are covered.  Ethical standards, social impact investing,
and sustainability accounting will be considered. Students will analyze and
critique current business practices and consider the vision of the “triple
bottom line” framework that recommends companies manage for profit, people and
planet. This is a required course in the Economics and Finance Program and is
recommended preparation for Econ 391, Corporate Finance.","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-3","https://inside.bard.edu/academic/courses/current/menu.htm","Principles of Economics","ECON 100 A","11238","22","4","Michael Martell","Mon  Wed     3:30 PM
  – 4:50 PM Hegeman 102","Distributional","SA  Social
  Analysis","Crosslists","Economics & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-4","https://inside.bard.edu/academic/courses/current/menu.htm","Principles of Economics","ECON 100 B","11239","22","4","Oleksandr Valchyshen","Tue  Thurs    10:10 AM
  – 11:30 AM Hegeman 102","Distributional","SA  Social
  Analysis","Crosslists","Economics & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-5","https://inside.bard.edu/academic/courses/current/menu.htm","Principles of Economics","ECON 100 C","11240","22","4","Liudmila Malyshava","Tue  Thurs    5:10 PM
  – 6:30 PM Hegeman 102","Distributional","SA  Social
  Analysis","Crosslists","Economics & Finance; Global & International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-6","https://inside.bard.edu/academic/courses/current/menu.htm","Intermediate Microeconomics","ECON 201","11287","22","4","Kris Feder","Tue  Thurs    10:10 AM
  – 11:30 AM Reem Kayden Center 115","Distributional","SA  Social
  Analysis","Crosslists","Economics & Finance","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-7","https://inside.bard.edu/academic/courses/current/menu.htm","Game Theory","ECON 203","11288","22","4","Aniruddha Mitra","Mon  Wed     10:10 AM
  – 11:30 AM Henderson Comp. Center 101A","Distributional","MC  Mathematics
  and Computing","Crosslists","Economics & Finance; Environmental & Urban Studies; Global &
  International Studies; Politics","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-8","https://inside.bard.edu/academic/courses/current/menu.htm","Introduction to Econometrics","ECON 229","11291","18","4","Sanjay DeSilva","Tue  Thurs    1:30 PM
  – 2:50 PM Albee 106","Distributional","MC  Mathematics
  and Computing","Crosslists","Economics & Finance; Environmental & Urban Studies; Global &
  International Studies","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449709-9","https://inside.bard.edu/academic/courses/current/menu.htm","Corporate Finance","ECON 391","11294","22","4","Oleksandr Valchyshen","Tue  Thurs    11:50 AM
  – 1:10 PM Hegeman 106","Distributional","SA  Social
  Analysis","Crosslists","Economics & Finance","null","null","null","null","","Economics and Finance","https://inside.bard.edu/academic/courses/current/finance.html"
"1682449711-10","https://inside.bard.edu/academic/courses/current/menu.htm","null","null","null","null","null","Course
  Number: CNSV 100 DA","","CRN","Course
  Number: CNSV 100 JC","null","","CRN","Course
  Number: CNSV 100 MC","null","","null","Conservatory of Music","https://inside.bard.edu/academic/courses/current/conservatory.html"
